number_wins,number_losses,number_pushes,number_blackjack,house_advantage_%,end_tokens,max_tokens,min_tokens,average_tokens,total_profit,total_bets,average_return_per_hand,end_tokens_without_card_counting,min_tokens_without_card_counting
473,473,83,38,0.0,12400.0,15025.0,7450.0,12136.23786407767,2400.0,162250.0,0.014791987673343606,11900.0,8550.0
434,472,109,32,3.740157480314961,9850.0,13600.0,8800.0,11110.580708661417,-150.0,138700.0,-0.0010814708002883922,7800.0,6950.0
458,473,102,34,1.4506769825918762,18325.0,19525.0,9100,11923.355899419728,8325.0,136450.0,0.06101135947233419,10200.0,8350.0
278,342,45,23,9.60960960960961,0.0,10000,0.0,6627.6651651651655,-10000.0,101000.0,-0.09900990099009901,4750.0,4750.0
417,468,91,40,5.220061412487206,0.0,13800.0,0.0,7683.520982599795,-10000.0,143475.0,-0.06969855375500958,6900.0,6900.0
485,470,77,32,-1.452081316553727,22550.0,23350.0,8150.0,15024.152952565344,12550.0,148950.0,0.08425646189996643,13100.0,7550.0
483,454,92,35,-2.815533980582524,24500.0,25150.0,8850.0,18718.980582524273,14500.0,162800.0,0.08906633906633907,14650.0,9050.0
465,466,90,42,0.09784735812133072,21125.0,21675.0,9750.0,15460.24951076321,11125.0,145700.0,0.07635552505147564,12000.0,9200.0
465,479,76,35,1.3712047012732616,16400.0,19300.0,8375.0,13919.417238001959,6400.0,158050.0,0.04049351471053464,10350.0,9100.0
176,227,40,17,11.486486486486488,0.0,11200.0,0.0,6431.756756756757,-10000.0,61575.0,-0.16240357287860333,5750.0,5750.0
431,513,79,29,8.0078125,6850.0,11800.0,5075.0,8656.3232421875,-3150.0,141850.0,-0.022206556221360592,3250.0,3250.0
449,484,91,34,3.414634146341464,9600.0,13200.0,7750.0,10192.80487804878,-400.0,140750.0,-0.002841918294849023,8200.0,7400.0
476,454,86,41,-2.1632251720747298,22200.0,22200.0,9600,15035.496558505409,12200.0,143350.0,0.0851063829787234,14250.0,9100.0
482,460,89,36,-2.131782945736434,16425.0,16675.0,9700,13341.279069767443,6425.0,136150.0,0.047190598604480355,14000.0,9600
503,444,80,48,-5.739299610894942,20950.0,21000.0,9150.0,13397.884241245136,10950.0,136850.0,0.08001461454146876,18300.0,9150.0
446,488,96,45,4.073714839961203,4225.0,11675.0,2275.0,7405.286129970902,-5775.0,150300.0,-0.03842315369261477,8050.0,5800.0
491,454,80,42,-3.6062378167641325,18675.0,19075.0,7700.0,13587.938596491229,8675.0,132550.0,0.06544700113164843,15800.0,8000.0
465,475,89,33,0.9708737864077669,11200.0,14650.0,9300.0,11887.669902912621,1200.0,161700.0,0.0074211502782931356,10650.0,8500.0
425,503,92,30,7.639569049951028,2850.0,10100,1550.0,6459.500489715965,-7150.0,146500.0,-0.04880546075085324,3700.0,3400.0
457,486,87,31,2.8128031037827355,7600.0,12175.0,6500.0,10000.557710960233,-2400.0,147000.0,-0.0163265306122449,8650.0,8000.0
437,492,87,29,5.408062930186824,7100.0,15950.0,5100.0,11060.98820058997,-2900.0,144150.0,-0.020117932708983696,5950.0,4850.0
456,457,110,36,0.09765625,8925.0,11600.0,3375.0,7095.5322265625,-1075.0,131550.0,-0.008171797795515013,11700.0,7500.0
470,466,91,29,-0.38910505836575876,16700.0,18050.0,8750.0,12580.982490272374,6700.0,146050.0,0.04587470044505306,11850.0,8400.0
462,472,95,36,0.9708737864077669,16125.0,16325.0,9300.0,12247.038834951456,6125.0,144800.0,0.04229972375690608,10800.0,8350.0
444,477,96,32,3.2416502946954813,11075.0,14650.0,9250.0,11606.188605108055,1075.0,134900.0,0.007968865826538177,8300.0,7900.0
461,483,88,34,2.1297192642787994,9975.0,14025.0,7150.0,10749.17715392062,-25.0,147750.0,-0.00016920473773265651,9500.0,8100.0
475,457,93,32,-1.7543859649122806,14200.0,19150.0,6950.0,13346.637426900585,4200.0,159700.0,0.026299311208515967,13400.0,8800
477,454,98,38,-2.233009708737864,21100.0,23100.0,9750.0,16329.223300970874,11100.0,158600.0,0.06998738965952081,14200.0,10000
434,496,88,31,6.084396467124632,4725.0,10150.0,525.0,5082.801766437684,-5275.0,131100.0,-0.04023646071700992,5350.0,3250.0
471,472,79,38,0.09775171065493646,14925.0,16425.0,9550.0,13570.185728250244,4925.0,145300.0,0.03389538885065382,11800.0,9700
290,314,51,12,3.6585365853658534,0.0,11650.0,0.0,7923.094512195122,-10000.0,96900.0,-0.10319917440660474,8200.0,8200.0
480,470,77,37,-0.9727626459143969,16375.0,16775.0,8900.0,12237.791828793774,6375.0,132000.0,0.048295454545454544,12850.0,8800.0
476,465,87,40,-1.0689990281827018,18350.0,18550.0,4800.0,9552.96404275996,8350.0,148600.0,0.056191117092866755,13100.0,7450.0
446,482,94,37,3.519061583577713,11875.0,11875.0,3275.0,7246.13880742913,1875.0,129750.0,0.014450867052023121,8250.0,4800.0
440,491,88,35,5.0,10075.0,12475.0,7075.0,10134.926470588236,75.0,145600.0,0.0005151098901098901,6650.0,6600.0
474,473,76,48,-0.09765625,13200.0,15650.0,8650.0,12065.0634765625,3200.0,130000.0,0.024615384615384615,12500.0,8700.0
458,474,87,36,1.5686274509803921,7075.0,12500.0,6225.0,9425.14705882353,-2925.0,145100.0,-0.020158511371467954,10200.0,8500.0
474,476,78,45,0.1943634596695821,10500.0,14450.0,6700.0,11042.468415937803,500.0,153800.0,0.003250975292587776,12050.0,9050.0
458,460,99,30,0.19646365422396855,18775.0,21925.0,8500.0,13725.49115913556,8775.0,148150.0,0.059230509618629766,11300.0,8800.0
458,497,74,32,3.7864077669902914,10450.0,15350.0,7800.0,12664.174757281553,450.0,145400.0,0.003094910591471802,7700.0,7450.0
453,470,101,32,1.6585365853658538,13500.0,15050.0,9225.0,11849.780487804877,3500.0,145200.0,0.024104683195592287,9900.0,8250.0
467,471,90,35,0.3887269193391642,12650.0,15550.0,9700,12033.430515063168,2650.0,144500.0,0.01833910034602076,11350.0,8000.0
426,496,101,25,6.8359375,2525.0,10400,1075.0,5595.849609375,-7475.0,144450.0,-0.051748009691934924,4250.0,3450.0
469,463,89,42,-0.5870841487279843,16825.0,17075.0,9750.0,13569.422700587083,6825.0,142350.0,0.04794520547945205,12700.0,9500.0
423,514,86,32,8.88671875,1475.0,11200.0,675.0,5443.2373046875,-8525.0,147750.0,-0.05769881556683587,2500.0,1750.0
448,485,87,24,3.623898139079334,9025.0,12100.0,5575.0,9271.914789422135,-975.0,159550.0,-0.0061109370103415855,7500.0,5950.0
