player score,dealer 2,dealer 3,dealer 4,dealer 5,dealer 6,dealer 7,dealer 8,dealer 9,dealer 10,dealer 11
4,h,h,h,h,h,h,h,h,h,h
5,h,h,h,h,h,h,h,h,h,h
6,h,h,h,h,h,h,h,h,h,h
7,h,h,h,h,h,h,h,h,h,h
8,h,h,h,h,h,h,h,h,h,h
9,h,d-h,d-h,d-h,d-h,h,h,h,h,h
10,d-h,d-h,d-h,d-h,d-h,d-h,d-h,d-h,h,h
11,d-h,d-h,d-h,d-h,d-h,d-h,d-h,d-h,d-h,h
12,h,h,s,s,s,h,h,h,h,h
13,s,s,s,s,s,h,h,h,h,h
14,s,s,s,s,s,h,h,h,h,h
15,s,s,s,s,s,h,h,h,h,h
16,s,s,s,s,s,h,h,h,h,h
17,s,s,s,s,s,s,s,s,s,s
18,s,s,s,s,s,s,s,s,s,s
19,s,s,s,s,s,s,s,s,s,s
20,s,s,s,s,s,s,s,s,s,s
21,s,s,s,s,s,s,s,s,s,s
